"label","n","parent","id"
"Action",17207,NA,"Action"
"Adult",56,NA,"Adult"
"Adventure",10941,NA,"Adventure"
"Animation",4559,NA,"Animation"
"Biography",1114,NA,"Biography"
"Comedy",17067,NA,"Comedy"
"Crime",12529,NA,"Crime"
"Documentary",1348,NA,"Documentary"
"Drama",30144,NA,"Drama"
"Family",2259,NA,"Family"
"Fantasy",4634,NA,"Fantasy"
"Film Noir",4,NA,"Film Noir"
"Game Show",489,NA,"Game Show"
"History",373,NA,"History"
"Horror",2959,NA,"Horror"
"Music",954,NA,"Music"
"Musical",171,NA,"Musical"
"Mystery",4753,NA,"Mystery"
"News",2,NA,"News"
"Reality TV",842,NA,"Reality TV"
"Romance",8869,NA,"Romance"
"Sci Fi",2844,NA,"Sci Fi"
"Short",1,NA,"Short"
"Sport",590,NA,"Sport"
"Talk Show",43,NA,"Talk Show"
"Thriller",6833,NA,"Thriller"
"War",350,NA,"War"
"Western",677,NA,"Western"
"Argentina",128,"Action","Action  -  Argentina"
"Argentina",103,"Adventure","Adventure  -  Argentina"
"Argentina",56,"Animation","Animation  -  Argentina"
"Argentina",10,"Biography","Biography  -  Argentina"
"Argentina",175,"Comedy","Comedy  -  Argentina"
"Argentina",139,"Crime","Crime  -  Argentina"
"Argentina",12,"Documentary","Documentary  -  Argentina"
"Argentina",360,"Drama","Drama  -  Argentina"
"Argentina",14,"Family","Family  -  Argentina"
"Argentina",34,"Fantasy","Fantasy  -  Argentina"
"Argentina",5,"History","History  -  Argentina"
"Argentina",33,"Horror","Horror  -  Argentina"
"Argentina",35,"Music","Music  -  Argentina"
"Argentina",2,"Musical","Musical  -  Argentina"
"Argentina",55,"Mystery","Mystery  -  Argentina"
"Argentina",102,"Romance","Romance  -  Argentina"
"Argentina",10,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",6,"Sport","Sport  -  Argentina"
"Argentina",90,"Thriller","Thriller  -  Argentina"
"Argentina",3,"War","War  -  Argentina"
"Argentina",6,"Western","Western  -  Argentina"
"Australia",181,"Action","Action  -  Australia"
"Australia",1,"Adult","Adult  -  Australia"
"Australia",131,"Adventure","Adventure  -  Australia"
"Australia",51,"Animation","Animation  -  Australia"
"Australia",15,"Biography","Biography  -  Australia"
"Australia",176,"Comedy","Comedy  -  Australia"
"Australia",135,"Crime","Crime  -  Australia"
"Australia",32,"Documentary","Documentary  -  Australia"
"Australia",296,"Drama","Drama  -  Australia"
"Australia",43,"Family","Family  -  Australia"
"Australia",58,"Fantasy","Fantasy  -  Australia"
"Australia",9,"Game Show","Game Show  -  Australia"
"Australia",5,"History","History  -  Australia"
"Australia",31,"Horror","Horror  -  Australia"
"Australia",3,"Music","Music  -  Australia"
"Australia",1,"Musical","Musical  -  Australia"
"Australia",51,"Mystery","Mystery  -  Australia"
"Australia",24,"Reality TV","Reality TV  -  Australia"
"Australia",71,"Romance","Romance  -  Australia"
"Australia",52,"Sci Fi","Sci Fi  -  Australia"
"Australia",13,"Sport","Sport  -  Australia"
"Australia",3,"Talk Show","Talk Show  -  Australia"
"Australia",58,"Thriller","Thriller  -  Australia"
"Australia",7,"War","War  -  Australia"
"Australia",7,"Western","Western  -  Australia"
"Austria",191,"Action","Action  -  Austria"
"Austria",2,"Adult","Adult  -  Austria"
"Austria",140,"Adventure","Adventure  -  Austria"
"Austria",35,"Animation","Animation  -  Austria"
"Austria",16,"Biography","Biography  -  Austria"
"Austria",185,"Comedy","Comedy  -  Austria"
"Austria",156,"Crime","Crime  -  Austria"
"Austria",22,"Documentary","Documentary  -  Austria"
"Austria",310,"Drama","Drama  -  Austria"
"Austria",47,"Family","Family  -  Austria"
"Austria",68,"Fantasy","Fantasy  -  Austria"
"Austria",7,"Game Show","Game Show  -  Austria"
"Austria",4,"History","History  -  Austria"
"Austria",36,"Horror","Horror  -  Austria"
"Austria",2,"Music","Music  -  Austria"
"Austria",58,"Mystery","Mystery  -  Austria"
"Austria",10,"Reality TV","Reality TV  -  Austria"
"Austria",84,"Romance","Romance  -  Austria"
"Austria",27,"Sci Fi","Sci Fi  -  Austria"
"Austria",14,"Sport","Sport  -  Austria"
"Austria",1,"Talk Show","Talk Show  -  Austria"
"Austria",78,"Thriller","Thriller  -  Austria"
"Austria",3,"War","War  -  Austria"
"Austria",7,"Western","Western  -  Austria"
"Bahamas",179,"Action","Action  -  Bahamas"
