"id","n","label","parent"
"total  -  Thriller  -  Jamaica",99,"Jamaica","total  -  Thriller"
"total  -  Action  -  Japan",214,"Japan","total  -  Action"
"total  -  Adventure  -  Japan",155,"Japan","total  -  Adventure"
"total  -  Animation  -  Japan",92,"Japan","total  -  Animation"
"total  -  Comedy  -  Japan",157,"Japan","total  -  Comedy"
"total  -  Crime  -  Japan",95,"Japan","total  -  Crime"
"total  -  Drama  -  Japan",283,"Japan","total  -  Drama"
"total  -  Fantasy  -  Japan",49,"Japan","total  -  Fantasy"
"total  -  Mystery  -  Japan",42,"Japan","total  -  Mystery"
"total  -  Romance  -  Japan",167,"Japan","total  -  Romance"
"total  -  Thriller  -  Japan",66,"Japan","total  -  Thriller"
"total  -  Action  -  Jordan",200,"Jordan","total  -  Action"
"total  -  Adventure  -  Jordan",101,"Jordan","total  -  Adventure"
"total  -  Comedy  -  Jordan",238,"Jordan","total  -  Comedy"
"total  -  Crime  -  Jordan",125,"Jordan","total  -  Crime"
"total  -  Drama  -  Jordan",374,"Jordan","total  -  Drama"
"total  -  Fantasy  -  Jordan",47,"Jordan","total  -  Fantasy"
"total  -  Horror  -  Jordan",32,"Jordan","total  -  Horror"
"total  -  Mystery  -  Jordan",42,"Jordan","total  -  Mystery"
"total  -  Romance  -  Jordan",79,"Jordan","total  -  Romance"
"total  -  Thriller  -  Jordan",68,"Jordan","total  -  Thriller"
"total  -  Action  -  Kenya",193,"Kenya","total  -  Action"
"total  -  Adventure  -  Kenya",89,"Kenya","total  -  Adventure"
"total  -  Comedy  -  Kenya",187,"Kenya","total  -  Comedy"
"total  -  Crime  -  Kenya",131,"Kenya","total  -  Crime"
"total  -  Drama  -  Kenya",334,"Kenya","total  -  Drama"
"total  -  Fantasy  -  Kenya",42,"Kenya","total  -  Fantasy"
"total  -  Mystery  -  Kenya",51,"Kenya","total  -  Mystery"
"total  -  Romance  -  Kenya",93,"Kenya","total  -  Romance"
"total  -  Sci Fi  -  Kenya",35,"Kenya","total  -  Sci Fi"
"total  -  Thriller  -  Kenya",82,"Kenya","total  -  Thriller"
"total  -  Action  -  Kuwait",214,"Kuwait","total  -  Action"
"total  -  Adventure  -  Kuwait",132,"Kuwait","total  -  Adventure"
"total  -  Animation  -  Kuwait",53,"Kuwait","total  -  Animation"
"total  -  Comedy  -  Kuwait",165,"Kuwait","total  -  Comedy"
"total  -  Crime  -  Kuwait",125,"Kuwait","total  -  Crime"
"total  -  Drama  -  Kuwait",318,"Kuwait","total  -  Drama"
"total  -  Fantasy  -  Kuwait",57,"Kuwait","total  -  Fantasy"
"total  -  Mystery  -  Kuwait",53,"Kuwait","total  -  Mystery"
"total  -  Romance  -  Kuwait",68,"Kuwait","total  -  Romance"
"total  -  Thriller  -  Kuwait",89,"Kuwait","total  -  Thriller"
"total  -  Action  -  Latvia",162,"Latvia","total  -  Action"
"total  -  Adventure  -  Latvia",135,"Latvia","total  -  Adventure"
"total  -  Animation  -  Latvia",80,"Latvia","total  -  Animation"
"total  -  Comedy  -  Latvia",234,"Latvia","total  -  Comedy"
"total  -  Crime  -  Latvia",122,"Latvia","total  -  Crime"
"total  -  Drama  -  Latvia",295,"Latvia","total  -  Drama"
"total  -  Mystery  -  Latvia",59,"Latvia","total  -  Mystery"
"total  -  Romance  -  Latvia",90,"Latvia","total  -  Romance"
"total  -  Sci Fi  -  Latvia",53,"Latvia","total  -  Sci Fi"
"total  -  Thriller  -  Latvia",49,"Latvia","total  -  Thriller"
"total  -  Action  -  Lebanon",195,"Lebanon","total  -  Action"
"total  -  Adventure  -  Lebanon",104,"Lebanon","total  -  Adventure"
"total  -  Comedy  -  Lebanon",188,"Lebanon","total  -  Comedy"
"total  -  Crime  -  Lebanon",141,"Lebanon","total  -  Crime"
"total  -  Drama  -  Lebanon",377,"Lebanon","total  -  Drama"
"total  -  Fantasy  -  Lebanon",60,"Lebanon","total  -  Fantasy"
"total  -  Horror  -  Lebanon",26,"Lebanon","total  -  Horror"
"total  -  Mystery  -  Lebanon",38,"Lebanon","total  -  Mystery"
"total  -  Romance  -  Lebanon",105,"Lebanon","total  -  Romance"
"total  -  Sci Fi  -  Lebanon",26,"Lebanon","total  -  Sci Fi"
"total  -  Thriller  -  Lebanon",76,"Lebanon","total  -  Thriller"
"total  -  Action  -  Lithuania",138,"Lithuania","total  -  Action"
"total  -  Adventure  -  Lithuania",96,"Lithuania","total  -  Adventure"
"total  -  Animation  -  Lithuania",49,"Lithuania","total  -  Animation"
"total  -  Comedy  -  Lithuania",215,"Lithuania","total  -  Comedy"
"total  -  Crime  -  Lithuania",128,"Lithuania","total  -  Crime"
"total  -  Drama  -  Lithuania",296,"Lithuania","total  -  Drama"
"total  -  Fantasy  -  Lithuania",49,"Lithuania","total  -  Fantasy"
"total  -  Mystery  -  Lithuania",45,"Lithuania","total  -  Mystery"
"total  -  Romance  -  Lithuania",98,"Lithuania","total  -  Romance"
"total  -  Thriller  -  Lithuania",51,"Lithuania","total  -  Thriller"
"total  -  Action  -  Luxembourg",172,"Luxembourg","total  -  Action"
"total  -  Adventure  -  Luxembourg",129,"Luxembourg","total  -  Adventure"
"total  -  Animation  -  Luxembourg",54,"Luxembourg","total  -  Animation"
"total  -  Comedy  -  Luxembourg",186,"Luxembourg","total  -  Comedy"
"total  -  Crime  -  Luxembourg",142,"Luxembourg","total  -  Crime"
"total  -  Drama  -  Luxembourg",340,"Luxembourg","total  -  Drama"
"total  -  Fantasy  -  Luxembourg",61,"Luxembourg","total  -  Fantasy"
"total  -  Mystery  -  Luxembourg",46,"Luxembourg","total  -  Mystery"
"total  -  Romance  -  Luxembourg",95,"Luxembourg","total  -  Romance"
"total  -  Thriller  -  Luxembourg",62,"Luxembourg","total  -  Thriller"
"total  -  Action  -  Malaysia",216,"Malaysia","total  -  Action"
"total  -  Adventure  -  Malaysia",116,"Malaysia","total  -  Adventure"
"total  -  Comedy  -  Malaysia",193,"Malaysia","total  -  Comedy"
"total  -  Crime  -  Malaysia",145,"Malaysia","total  -  Crime"
"total  -  Drama  -  Malaysia",324,"Malaysia","total  -  Drama"
"total  -  Fantasy  -  Malaysia",61,"Malaysia","total  -  Fantasy"
"total  -  Horror  -  Malaysia",41,"Malaysia","total  -  Horror"
"total  -  Mystery  -  Malaysia",70,"Malaysia","total  -  Mystery"
"total  -  Romance  -  Malaysia",103,"Malaysia","total  -  Romance"
"total  -  Thriller  -  Malaysia",90,"Malaysia","total  -  Thriller"
"total  -  Action  -  Maldives",185,"Maldives","total  -  Action"
"total  -  Adventure  -  Maldives",99,"Maldives","total  -  Adventure"
"total  -  Animation  -  Maldives",44,"Maldives","total  -  Animation"
"total  -  Comedy  -  Maldives",185,"Maldives","total  -  Comedy"
"total  -  Crime  -  Maldives",146,"Maldives","total  -  Crime"
"total  -  Drama  -  Maldives",317,"Maldives","total  -  Drama"
"total  -  Fantasy  -  Maldives",46,"Maldives","total  -  Fantasy"
"total  -  Mystery  -  Maldives",70,"Maldives","total  -  Mystery"
"total  -  Romance  -  Maldives",103,"Maldives","total  -  Romance"
"total  -  Thriller  -  Maldives",68,"Maldives","total  -  Thriller"
"total  -  Action  -  Malta",164,"Malta","total  -  Action"
"total  -  Adventure  -  Malta",88,"Malta","total  -  Adventure"
"total  -  Comedy  -  Malta",165,"Malta","total  -  Comedy"
"total  -  Crime  -  Malta",142,"Malta","total  -  Crime"
"total  -  Drama  -  Malta",339,"Malta","total  -  Drama"
"total  -  Fantasy  -  Malta",35,"Malta","total  -  Fantasy"
"total  -  Mystery  -  Malta",56,"Malta","total  -  Mystery"
"total  -  Romance  -  Malta",95,"Malta","total  -  Romance"
"total  -  Sci Fi  -  Malta",38,"Malta","total  -  Sci Fi"
"total  -  Thriller  -  Malta",79,"Malta","total  -  Thriller"
"total  -  Action  -  Martinique",214,"Martinique","total  -  Action"
"total  -  Adventure  -  Martinique",122,"Martinique","total  -  Adventure"
"total  -  Animation  -  Martinique",49,"Martinique","total  -  Animation"
"total  -  Comedy  -  Martinique",163,"Martinique","total  -  Comedy"
"total  -  Crime  -  Martinique",156,"Martinique","total  -  Crime"
"total  -  Drama  -  Martinique",322,"Martinique","total  -  Drama"
"total  -  Fantasy  -  Martinique",51,"Martinique","total  -  Fantasy"
"total  -  Romance  -  Martinique",74,"Martinique","total  -  Romance"
"total  -  Sci Fi  -  Martinique",44,"Martinique","total  -  Sci Fi"
"total  -  Thriller  -  Martinique",77,"Martinique","total  -  Thriller"
"total  -  Action  -  Mauritius",200,"Mauritius","total  -  Action"
"total  -  Adventure  -  Mauritius",106,"Mauritius","total  -  Adventure"
"total  -  Comedy  -  Mauritius",196,"Mauritius","total  -  Comedy"
"total  -  Crime  -  Mauritius",136,"Mauritius","total  -  Crime"
"total  -  Drama  -  Mauritius",323,"Mauritius","total  -  Drama"
"total  -  Fantasy  -  Mauritius",51,"Mauritius","total  -  Fantasy"
"total  -  Mystery  -  Mauritius",60,"Mauritius","total  -  Mystery"
"total  -  Romance  -  Mauritius",98,"Mauritius","total  -  Romance"
"total  -  Sci Fi  -  Mauritius",40,"Mauritius","total  -  Sci Fi"
"total  -  Thriller  -  Mauritius",69,"Mauritius","total  -  Thriller"
"total  -  Action  -  Mexico",117,"Mexico","total  -  Action"
"total  -  Adventure  -  Mexico",130,"Mexico","total  -  Adventure"
"total  -  Animation  -  Mexico",87,"Mexico","total  -  Animation"
"total  -  Comedy  -  Mexico",221,"Mexico","total  -  Comedy"
"total  -  Crime  -  Mexico",107,"Mexico","total  -  Crime"
"total  -  Drama  -  Mexico",326,"Mexico","total  -  Drama"
"total  -  Fantasy  -  Mexico",42,"Mexico","total  -  Fantasy"
"total  -  Mystery  -  Mexico",44,"Mexico","total  -  Mystery"
"total  -  Romance  -  Mexico",107,"Mexico","total  -  Romance"
"total  -  Thriller  -  Mexico",69,"Mexico","total  -  Thriller"
"total  -  Action  -  Morocco",242,"Morocco","total  -  Action"
"total  -  Adventure  -  Morocco",100,"Morocco","total  -  Adventure"
"total  -  Comedy  -  Morocco",169,"Morocco","total  -  Comedy"
"total  -  Crime  -  Morocco",194,"Morocco","total  -  Crime"
"total  -  Drama  -  Morocco",365,"Morocco","total  -  Drama"
"total  -  Fantasy  -  Morocco",37,"Morocco","total  -  Fantasy"
"total  -  Horror  -  Morocco",33,"Morocco","total  -  Horror"
"total  -  Mystery  -  Morocco",61,"Morocco","total  -  Mystery"
"total  -  Romance  -  Morocco",75,"Morocco","total  -  Romance"
"total  -  Thriller  -  Morocco",91,"Morocco","total  -  Thriller"
"total  -  Action  -  Netherlands",151,"Netherlands","total  -  Action"
"total  -  Adventure  -  Netherlands",123,"Netherlands","total  -  Adventure"
"total  -  Animation  -  Netherlands",58,"Netherlands","total  -  Animation"
"total  -  Comedy  -  Netherlands",179,"Netherlands","total  -  Comedy"
"total  -  Crime  -  Netherlands",147,"Netherlands","total  -  Crime"
"total  -  Drama  -  Netherlands",335,"Netherlands","total  -  Drama"
"total  -  Fantasy  -  Netherlands",49,"Netherlands","total  -  Fantasy"
"total  -  Mystery  -  Netherlands",50,"Netherlands","total  -  Mystery"
"total  -  Romance  -  Netherlands",88,"Netherlands","total  -  Romance"
"total  -  Thriller  -  Netherlands",69,"Netherlands","total  -  Thriller"
"total  -  Action  -  New Caledonia",259,"New Caledonia","total  -  Action"
"total  -  Adventure  -  New Caledonia",159,"New Caledonia","total  -  Adventure"
"total  -  Animation  -  New Caledonia",65,"New Caledonia","total  -  Animation"
"total  -  Comedy  -  New Caledonia",145,"New Caledonia","total  -  Comedy"
"total  -  Crime  -  New Caledonia",155,"New Caledonia","total  -  Crime"
"total  -  Drama  -  New Caledonia",302,"New Caledonia","total  -  Drama"
"total  -  Fantasy  -  New Caledonia",64,"New Caledonia","total  -  Fantasy"
"total  -  Romance  -  New Caledonia",56,"New Caledonia","total  -  Romance"
"total  -  Sci Fi  -  New Caledonia",52,"New Caledonia","total  -  Sci Fi"
"total  -  Thriller  -  New Caledonia",75,"New Caledonia","total  -  Thriller"
"total  -  Action  -  New Zealand",189,"New Zealand","total  -  Action"
"total  -  Adventure  -  New Zealand",123,"New Zealand","total  -  Adventure"
"total  -  Animation  -  New Zealand",69,"New Zealand","total  -  Animation"
"total  -  Comedy  -  New Zealand",170,"New Zealand","total  -  Comedy"
"total  -  Crime  -  New Zealand",139,"New Zealand","total  -  Crime"
"total  -  Drama  -  New Zealand",295,"New Zealand","total  -  Drama"
"total  -  Fantasy  -  New Zealand",40,"New Zealand","total  -  Fantasy"
"total  -  Mystery  -  New Zealand",49,"New Zealand","total  -  Mystery"
"total  -  Romance  -  New Zealand",62,"New Zealand","total  -  Romance"
"total  -  Thriller  -  New Zealand",71,"New Zealand","total  -  Thriller"
"total  -  Action  -  Nicaragua",131,"Nicaragua","total  -  Action"
"total  -  Adventure  -  Nicaragua",84,"Nicaragua","total  -  Adventure"
"total  -  Animation  -  Nicaragua",43,"Nicaragua","total  -  Animation"
"total  -  Comedy  -  Nicaragua",192,"Nicaragua","total  -  Comedy"
"total  -  Crime  -  Nicaragua",103,"Nicaragua","total  -  Crime"
"total  -  Drama  -  Nicaragua",302,"Nicaragua","total  -  Drama"
"total  -  Fantasy  -  Nicaragua",37,"Nicaragua","total  -  Fantasy"
"total  -  Mystery  -  Nicaragua",42,"Nicaragua","total  -  Mystery"
"total  -  Romance  -  Nicaragua",121,"Nicaragua","total  -  Romance"
"total  -  Thriller  -  Nicaragua",77,"Nicaragua","total  -  Thriller"
"total  -  Action  -  Nigeria",173,"Nigeria","total  -  Action"
"total  -  Adventure  -  Nigeria",63,"Nigeria","total  -  Adventure"
"total  -  Comedy  -  Nigeria",146,"Nigeria","total  -  Comedy"
"total  -  Crime  -  Nigeria",132,"Nigeria","total  -  Crime"
"total  -  Drama  -  Nigeria",357,"Nigeria","total  -  Drama"
"total  -  Fantasy  -  Nigeria",45,"Nigeria","total  -  Fantasy"
"total  -  Mystery  -  Nigeria",65,"Nigeria","total  -  Mystery"
"total  -  Romance  -  Nigeria",114,"Nigeria","total  -  Romance"
"total  -  Sci Fi  -  Nigeria",40,"Nigeria","total  -  Sci Fi"
"total  -  Thriller  -  Nigeria",60,"Nigeria","total  -  Thriller"
"total  -  Action  -  Norway",179,"Norway","total  -  Action"
"total  -  Adventure  -  Norway",119,"Norway","total  -  Adventure"
"total  -  Animation  -  Norway",49,"Norway","total  -  Animation"
"total  -  Comedy  -  Norway",171,"Norway","total  -  Comedy"
"total  -  Crime  -  Norway",151,"Norway","total  -  Crime"
"total  -  Drama  -  Norway",344,"Norway","total  -  Drama"
"total  -  Fantasy  -  Norway",54,"Norway","total  -  Fantasy"
"total  -  Mystery  -  Norway",47,"Norway","total  -  Mystery"
"total  -  Romance  -  Norway",83,"Norway","total  -  Romance"
"total  -  Thriller  -  Norway",59,"Norway","total  -  Thriller"
"total  -  Action  -  Oman",192,"Oman","total  -  Action"
"total  -  Adventure  -  Oman",104,"Oman","total  -  Adventure"
"total  -  Comedy  -  Oman",120,"Oman","total  -  Comedy"
"total  -  Crime  -  Oman",118,"Oman","total  -  Crime"
"total  -  Drama  -  Oman",272,"Oman","total  -  Drama"
"total  -  Fantasy  -  Oman",52,"Oman","total  -  Fantasy"
"total  -  Horror  -  Oman",36,"Oman","total  -  Horror"
"total  -  Mystery  -  Oman",46,"Oman","total  -  Mystery"
"total  -  Romance  -  Oman",57,"Oman","total  -  Romance"
"total  -  Thriller  -  Oman",78,"Oman","total  -  Thriller"
"total  -  Action  -  Pakistan",284,"Pakistan","total  -  Action"
"total  -  Adventure  -  Pakistan",102,"Pakistan","total  -  Adventure"
"total  -  Comedy  -  Pakistan",143,"Pakistan","total  -  Comedy"
"total  -  Crime  -  Pakistan",222,"Pakistan","total  -  Crime"
"total  -  Drama  -  Pakistan",367,"Pakistan","total  -  Drama"
"total  -  Fantasy  -  Pakistan",42,"Pakistan","total  -  Fantasy"
"total  -  Mystery  -  Pakistan",86,"Pakistan","total  -  Mystery"
"total  -  Romance  -  Pakistan",65,"Pakistan","total  -  Romance"
"total  -  Sci Fi  -  Pakistan",45,"Pakistan","total  -  Sci Fi"
"total  -  Thriller  -  Pakistan",89,"Pakistan","total  -  Thriller"
"total  -  Action  -  Panama",141,"Panama","total  -  Action"
"total  -  Adventure  -  Panama",110,"Panama","total  -  Adventure"
"total  -  Animation  -  Panama",63,"Panama","total  -  Animation"
"total  -  Comedy  -  Panama",195,"Panama","total  -  Comedy"
"total  -  Crime  -  Panama",125,"Panama","total  -  Crime"
"total  -  Drama  -  Panama",317,"Panama","total  -  Drama"
"total  -  Fantasy  -  Panama",40,"Panama","total  -  Fantasy"
"total  -  Mystery  -  Panama",37,"Panama","total  -  Mystery"
"total  -  Romance  -  Panama",119,"Panama","total  -  Romance"
"total  -  Thriller  -  Panama",80,"Panama","total  -  Thriller"
"total  -  Action  -  Paraguay",133,"Paraguay","total  -  Action"
"total  -  Adventure  -  Paraguay",101,"Paraguay","total  -  Adventure"
"total  -  Animation  -  Paraguay",54,"Paraguay","total  -  Animation"
"total  -  Comedy  -  Paraguay",202,"Paraguay","total  -  Comedy"
"total  -  Crime  -  Paraguay",117,"Paraguay","total  -  Crime"
"total  -  Drama  -  Paraguay",324,"Paraguay","total  -  Drama"
"total  -  Fantasy  -  Paraguay",31,"Paraguay","total  -  Fantasy"
"total  -  Mystery  -  Paraguay",46,"Paraguay","total  -  Mystery"
"total  -  Romance  -  Paraguay",122,"Paraguay","total  -  Romance"
"total  -  Thriller  -  Paraguay",81,"Paraguay","total  -  Thriller"
"total  -  Action  -  Peru",158,"Peru","total  -  Action"
"total  -  Adventure  -  Peru",122,"Peru","total  -  Adventure"
"total  -  Animation  -  Peru",67,"Peru","total  -  Animation"
"total  -  Comedy  -  Peru",191,"Peru","total  -  Comedy"
"total  -  Crime  -  Peru",108,"Peru","total  -  Crime"
"total  -  Drama  -  Peru",285,"Peru","total  -  Drama"
"total  -  Fantasy  -  Peru",42,"Peru","total  -  Fantasy"
"total  -  Mystery  -  Peru",40,"Peru","total  -  Mystery"
"total  -  Romance  -  Peru",111,"Peru","total  -  Romance"
"total  -  Thriller  -  Peru",74,"Peru","total  -  Thriller"
"total  -  Action  -  Philippines",197,"Philippines","total  -  Action"
"total  -  Adventure  -  Philippines",98,"Philippines","total  -  Adventure"
"total  -  Comedy  -  Philippines",141,"Philippines","total  -  Comedy"
"total  -  Crime  -  Philippines",109,"Philippines","total  -  Crime"
"total  -  Drama  -  Philippines",334,"Philippines","total  -  Drama"
"total  -  Fantasy  -  Philippines",53,"Philippines","total  -  Fantasy"
"total  -  Mystery  -  Philippines",60,"Philippines","total  -  Mystery"
"total  -  Romance  -  Philippines",104,"Philippines","total  -  Romance"
"total  -  Sci Fi  -  Philippines",50,"Philippines","total  -  Sci Fi"
"total  -  Thriller  -  Philippines",95,"Philippines","total  -  Thriller"
"total  -  Action  -  Poland",144,"Poland","total  -  Action"
"total  -  Adventure  -  Poland",168,"Poland","total  -  Adventure"
"total  -  Animation  -  Poland",101,"Poland","total  -  Animation"
"total  -  Comedy  -  Poland",210,"Poland","total  -  Comedy"
"total  -  Crime  -  Poland",126,"Poland","total  -  Crime"
"total  -  Drama  -  Poland",311,"Poland","total  -  Drama"
"total  -  Fantasy  -  Poland",53,"Poland","total  -  Fantasy"
"total  -  Mystery  -  Poland",53,"Poland","total  -  Mystery"
"total  -  Romance  -  Poland",76,"Poland","total  -  Romance"
"total  -  Thriller  -  Poland",69,"Poland","total  -  Thriller"
"total  -  Action  -  Portugal",161,"Portugal","total  -  Action"
"total  -  Adventure  -  Portugal",100,"Portugal","total  -  Adventure"
"total  -  Comedy  -  Portugal",170,"Portugal","total  -  Comedy"
"total  -  Crime  -  Portugal",108,"Portugal","total  -  Crime"
"total  -  Drama  -  Portugal",316,"Portugal","total  -  Drama"
"total  -  Family  -  Portugal",45,"Portugal","total  -  Family"
"total  -  Fantasy  -  Portugal",40,"Portugal","total  -  Fantasy"
"total  -  Music  -  Portugal",53,"Portugal","total  -  Music"
"total  -  Romance  -  Portugal",95,"Portugal","total  -  Romance"
"total  -  Thriller  -  Portugal",70,"Portugal","total  -  Thriller"
"total  -  Action  -  Qatar",206,"Qatar","total  -  Action"
"total  -  Adventure  -  Qatar",123,"Qatar","total  -  Adventure"
"total  -  Comedy  -  Qatar",155,"Qatar","total  -  Comedy"
"total  -  Crime  -  Qatar",128,"Qatar","total  -  Crime"
"total  -  Drama  -  Qatar",337,"Qatar","total  -  Drama"
"total  -  Fantasy  -  Qatar",59,"Qatar","total  -  Fantasy"
"total  -  Horror  -  Qatar",32,"Qatar","total  -  Horror"
"total  -  Mystery  -  Qatar",48,"Qatar","total  -  Mystery"
"total  -  Romance  -  Qatar",105,"Qatar","total  -  Romance"
"total  -  Thriller  -  Qatar",81,"Qatar","total  -  Thriller"
"total  -  Action  -  Réunion",210,"Réunion","total  -  Action"
"total  -  Adventure  -  Réunion",128,"Réunion","total  -  Adventure"
"total  -  Animation  -  Réunion",59,"Réunion","total  -  Animation"
"total  -  Comedy  -  Réunion",172,"Réunion","total  -  Comedy"
"total  -  Crime  -  Réunion",138,"Réunion","total  -  Crime"
"total  -  Drama  -  Réunion",330,"Réunion","total  -  Drama"
"total  -  Fantasy  -  Réunion",64,"Réunion","total  -  Fantasy"
"total  -  Romance  -  Réunion",75,"Réunion","total  -  Romance"
"total  -  Sci Fi  -  Réunion",51,"Réunion","total  -  Sci Fi"
"total  -  Thriller  -  Réunion",68,"Réunion","total  -  Thriller"
"total  -  Action  -  Romania",169,"Romania","total  -  Action"
"total  -  Adventure  -  Romania",100,"Romania","total  -  Adventure"
"total  -  Comedy  -  Romania",160,"Romania","total  -  Comedy"
"total  -  Crime  -  Romania",139,"Romania","total  -  Crime"
"total  -  Drama  -  Romania",357,"Romania","total  -  Drama"
"total  -  Fantasy  -  Romania",51,"Romania","total  -  Fantasy"
"total  -  Horror  -  Romania",28,"Romania","total  -  Horror"
"total  -  Mystery  -  Romania",68,"Romania","total  -  Mystery"
"total  -  Romance  -  Romania",104,"Romania","total  -  Romance"
"total  -  Thriller  -  Romania",82,"Romania","total  -  Thriller"
"total  -  Action  -  Russia",249,"Russia","total  -  Action"
"total  -  Adventure  -  Russia",134,"Russia","total  -  Adventure"
"total  -  Animation  -  Russia",59,"Russia","total  -  Animation"
"total  -  Comedy  -  Russia",185,"Russia","total  -  Comedy"
"total  -  Crime  -  Russia",201,"Russia","total  -  Crime"
"total  -  Drama  -  Russia",343,"Russia","total  -  Drama"
"total  -  Fantasy  -  Russia",50,"Russia","total  -  Fantasy"
"total  -  Mystery  -  Russia",47,"Russia","total  -  Mystery"
"total  -  Romance  -  Russia",73,"Russia","total  -  Romance"
"total  -  Thriller  -  Russia",66,"Russia","total  -  Thriller"
"total  -  Action  -  Saudi Arabia",230,"Saudi Arabia","total  -  Action"
"total  -  Adventure  -  Saudi Arabia",99,"Saudi Arabia","total  -  Adventure"
"total  -  Comedy  -  Saudi Arabia",149,"Saudi Arabia","total  -  Comedy"
"total  -  Crime  -  Saudi Arabia",159,"Saudi Arabia","total  -  Crime"
"total  -  Drama  -  Saudi Arabia",336,"Saudi Arabia","total  -  Drama"
"total  -  Fantasy  -  Saudi Arabia",48,"Saudi Arabia","total  -  Fantasy"
"total  -  Horror  -  Saudi Arabia",43,"Saudi Arabia","total  -  Horror"
"total  -  Mystery  -  Saudi Arabia",53,"Saudi Arabia","total  -  Mystery"
"total  -  Romance  -  Saudi Arabia",74,"Saudi Arabia","total  -  Romance"
"total  -  Thriller  -  Saudi Arabia",90,"Saudi Arabia","total  -  Thriller"
"total  -  Action  -  Serbia",204,"Serbia","total  -  Action"
"total  -  Adventure  -  Serbia",114,"Serbia","total  -  Adventure"
"total  -  Animation  -  Serbia",38,"Serbia","total  -  Animation"
"total  -  Comedy  -  Serbia",184,"Serbia","total  -  Comedy"
"total  -  Crime  -  Serbia",148,"Serbia","total  -  Crime"
"total  -  Drama  -  Serbia",322,"Serbia","total  -  Drama"
"total  -  Fantasy  -  Serbia",44,"Serbia","total  -  Fantasy"
"total  -  Mystery  -  Serbia",44,"Serbia","total  -  Mystery"
"total  -  Romance  -  Serbia",98,"Serbia","total  -  Romance"
"total  -  Thriller  -  Serbia",77,"Serbia","total  -  Thriller"
"total  -  Action  -  Singapore",213,"Singapore","total  -  Action"
"total  -  Adventure  -  Singapore",107,"Singapore","total  -  Adventure"
"total  -  Comedy  -  Singapore",157,"Singapore","total  -  Comedy"
"total  -  Crime  -  Singapore",117,"Singapore","total  -  Crime"
"total  -  Drama  -  Singapore",330,"Singapore","total  -  Drama"
"total  -  Fantasy  -  Singapore",53,"Singapore","total  -  Fantasy"
"total  -  Mystery  -  Singapore",74,"Singapore","total  -  Mystery"
"total  -  Romance  -  Singapore",92,"Singapore","total  -  Romance"
"total  -  Sci Fi  -  Singapore",51,"Singapore","total  -  Sci Fi"
"total  -  Thriller  -  Singapore",90,"Singapore","total  -  Thriller"
"total  -  Action  -  Slovakia",184,"Slovakia","total  -  Action"
"total  -  Adventure  -  Slovakia",135,"Slovakia","total  -  Adventure"
"total  -  Animation  -  Slovakia",72,"Slovakia","total  -  Animation"
"total  -  Comedy  -  Slovakia",194,"Slovakia","total  -  Comedy"
"total  -  Crime  -  Slovakia",133,"Slovakia","total  -  Crime"
"total  -  Drama  -  Slovakia",308,"Slovakia","total  -  Drama"
"total  -  Fantasy  -  Slovakia",47,"Slovakia","total  -  Fantasy"
"total  -  Mystery  -  Slovakia",43,"Slovakia","total  -  Mystery"
"total  -  Romance  -  Slovakia",86,"Slovakia","total  -  Romance"
"total  -  Thriller  -  Slovakia",53,"Slovakia","total  -  Thriller"
"total  -  Action  -  Slovenia",179,"Slovenia","total  -  Action"
"total  -  Adventure  -  Slovenia",115,"Slovenia","total  -  Adventure"
"total  -  Animation  -  Slovenia",42,"Slovenia","total  -  Animation"
"total  -  Comedy  -  Slovenia",190,"Slovenia","total  -  Comedy"
"total  -  Crime  -  Slovenia",110,"Slovenia","total  -  Crime"
"total  -  Drama  -  Slovenia",279,"Slovenia","total  -  Drama"
"total  -  Fantasy  -  Slovenia",48,"Slovenia","total  -  Fantasy"
"total  -  Mystery  -  Slovenia",38,"Slovenia","total  -  Mystery"
"total  -  Romance  -  Slovenia",84,"Slovenia","total  -  Romance"
"total  -  Thriller  -  Slovenia",54,"Slovenia","total  -  Thriller"
"total  -  Action  -  South Africa",175,"South Africa","total  -  Action"
"total  -  Adventure  -  South Africa",100,"South Africa","total  -  Adventure"
"total  -  Animation  -  South Africa",45,"South Africa","total  -  Animation"
"total  -  Comedy  -  South Africa",193,"South Africa","total  -  Comedy"
"total  -  Crime  -  South Africa",110,"South Africa","total  -  Crime"
"total  -  Drama  -  South Africa",329,"South Africa","total  -  Drama"
"total  -  Mystery  -  South Africa",60,"South Africa","total  -  Mystery"
"total  -  Romance  -  South Africa",93,"South Africa","total  -  Romance"
"total  -  Sci Fi  -  South Africa",51,"South Africa","total  -  Sci Fi"
"total  -  Thriller  -  South Africa",62,"South Africa","total  -  Thriller"
"total  -  Action  -  South Korea",181,"South Korea","total  -  Action"
"total  -  Adventure  -  South Korea",76,"South Korea","total  -  Adventure"
"total  -  Comedy  -  South Korea",149,"South Korea","total  -  Comedy"
"total  -  Crime  -  South Korea",89,"South Korea","total  -  Crime"
"total  -  Drama  -  South Korea",320,"South Korea","total  -  Drama"
"total  -  Fantasy  -  South Korea",59,"South Korea","total  -  Fantasy"
"total  -  Horror  -  South Korea",49,"South Korea","total  -  Horror"
"total  -  Mystery  -  South Korea",41,"South Korea","total  -  Mystery"
"total  -  Romance  -  South Korea",111,"South Korea","total  -  Romance"
