Preco,Tamanho,CEP,Tipo_Imovel,Status_Imovel,Status_Aluguel,Cidade
285000,43453,EN1 3LF,Apartamento,Antigo,Alugado,Salvador
460000,43114,N4 1AZ,Apartamento,Antigo,Alugado,Natal
81250,43434,UB7 7XH,Apartamento,Antigo,Alugado,Canoas
380000,43349,NW2 2LX,Apartamento,Antigo,Alugado,Natal
265000,43454,E4 7NN,Apartamento,Antigo,Alugado,Natal
710000,43280,E3 4SL,Apartamento,Antigo,Alugado,Natal
361000,43448,NW9 7FH,Apartamento,Novo,Alugado,Natal
600000,43374,W4 2DZ,Apartamento,Novo,Alugado,Natal
499999,43448,NW9 7FE,Apartamento,Novo,Alugado,Natal
1698400,43328,N1C 4BX,Apartamento,Novo,Alugado,Natal
835000,43341,SW6 6JS,Apartamento,Antigo,Alugado,Natal
201600,43276,RM7 8EJ,Apartamento,Antigo,Alugado,Canoas
882000,43454,W14 0HD,Apartamento,Antigo,Alugado,Natal
540000,43227,E14 6JS,Apartamento,Antigo,Alugado,Natal
206000,42794,CR2 8LL,Outro,Antigo,Vazio,Canoas
401000,42783,N8 7PG,Apartamento,Antigo,Alugado,Natal
390000,42747,SW16 2BQ,Apartamento,Antigo,Alugado,Natal
8250000,42961,SE8 3GZ,Outro,Antigo,Alugado,Natal
860000,42815,N12 0JL,Casa sem Quintal,Antigo,Vazio,Natal
430000,43077,BR2 6DU,Casa com Quintal,Antigo,Vazio,Canoas
325000,42781,TW7 7DE,Cobertura,Antigo,Vazio,Brusque
2950000,42997,NW4 1SX,Casa com Quintal,Antigo,Vazio,Natal
350563,42921,SW18 1QZ,Apartamento,Novo,Alugado,Natal
860000,43322,N5 2ET,Apartamento,Antigo,Alugado,Natal
580000,43244,UB3 2RP,Casa sem Quintal,Antigo,Alugado,Canoas
280000,43144,SM4 5BW,Apartamento,Antigo,Alugado,Canoas
468000,43356,SE20 7BE,Apartamento,Antigo,Alugado,Natal
735000,43381,SE26 5PN,Apartamento,Antigo,Alugado,Natal
224000,43266,CR2 7EA,Apartamento,Antigo,Alugado,Canoas
580000,43430,SW4 6FF,Apartamento,Antigo,Alugado,Natal
466650,43454,SW19 4JG,Apartamento,Antigo,Alugado,Natal
270000,43256,RM10 9BP,Cobertura,Antigo,Vazio,Canoas
1665000,43175,SE1 7GG,Apartamento,Antigo,Alugado,Natal
600000,43420,SW2 5TX,Apartamento,Antigo,Alugado,Natal
710000,43283,SW18 1GF,Apartamento,Antigo,Alugado,Natal
390000,43201,SE15 2ND,Apartamento,Antigo,Alugado,Natal
240435,37033,E14 5SH,Apartamento,Novo,Alugado,Natal
